StateAbb,CCode,StateNme,region1,region2
USA,2,United States of America,5,
CAN,20,Canada,5,
BHM,31,Bahamas,5,
CUB,40,Cuba,5,
CUB,40,Cuba,5,
HAI,41,Haiti,5,
HAI,41,Haiti,5,
DOM,42,Dominican Republic,5,
DOM,42,Dominican Republic,5,
JAM,51,Jamaica,5,
TRI,52,Trinidad and Tobago,5,
BAR,53,Barbados,5,
DMA,54,Dominica,5,
GRN,55,Grenada,5,
SLU,56,St. Lucia,5,
SVG,57,St. Vincent and the Grenadines,5,
AAB,58,Antigua & Barbuda,5,
SKN,60,St. Kitts and Nevis,5,
MEX,70,Mexico,5,
BLZ,80,Belize,5,
GUA,90,Guatemala,5,
HON,91,Honduras,5,
SAL,92,El Salvador,5,
NIC,93,Nicaragua,5,
COS,94,Costa Rica,5,
PAN,95,Panama,5,
COL,100,Colombia,6,
VEN,101,Venezuela,6,
GUY,110,Guyana,6,
SUR,115,Suriname,6,
ECU,130,Ecuador,6,
PER,135,Peru,6,
BRA,140,Brazil,6,
BOL,145,Bolivia,6,
PAR,150,Paraguay,6,
PAR,150,Paraguay,6,
CHL,155,Chile,6,
ARG,160,Argentina,6,
URU,165,Uruguay,6,
UKG,200,United Kingdom,1,
IRE,205,Ireland,1,
NTH,210,Netherlands,1,
NTH,210,Netherlands,1,
BEL,211,Belgium,1,
BEL,211,Belgium,1,
LUX,212,Luxembourg,1,
LUX,212,Luxembourg,1,
FRN,220,France,1,6
FRN,220,France,1,6
MNC,221,Monaco,1,
LIE,223,Liechtenstein,1,
SWZ,225,Switzerland,1,
SPN,230,Spain,1,
AND,232,Andorra,1,
POR,235,Portugal,1,
HAN,240,Hanover,1,
BAV,245,Bavaria,1,
GMY,255,Germany,1,
GMY,255,Germany,1,
GFR,260,German Federal Republic,1,
GDR,265,German Democratic Republic,1,
BAD,267,Baden,1,
SAX,269,Saxony,1,
WRT,271,Wuerttemburg,1,
HSE,273,Hesse Electoral,1,
HSG,275,Hesse Grand Ducal,1,
MEC,280,Mecklenburg Schwerin,1,
POL,290,Poland,1,
POL,290,Poland,1,
AUH,300,Austria-Hungary,1,
AUS,305,Austria,1,
AUS,305,Austria,1,
HUN,310,Hungary,1,
CZE,315,Czechoslovakia,1,
CZE,315,Czechoslovakia,1,
CZR,316,Czech Republic,1,
SLO,317,Slovakia,1,
ITA,325,Italy,1,
PAP,327,Papal States,1,
SIC,329,Two Sicilies,1,
SNM,331,San Marino,1,
MOD,332,Modena,1,
PMA,335,Parma,1,
TUS,337,Tuscany,1,
MLT,338,Malta,1,
ALB,339,Albania,1,
ALB,339,Albania,1,
MNG,341,Montenegro,1,
MAC,343,Macedonia,1,
CRO,344,Croatia,1,
YUG,345,Yugoslavia,1,
YUG,345,Yugoslavia,1,
BOS,346,Bosnia and Herzegovina,1,
KOS,347,Kosovo,1,
SLV,349,Slovenia,1,
GRC,350,Greece,1,
GRC,350,Greece,1,
CYP,352,Cyprus,1,
BUL,355,Bulgaria,1,
MLD,359,Moldova,1,
ROM,360,Romania,1,
RUS,365,Russia,1,2
EST,366,Estonia,1,
EST,366,Estonia,1,
LAT,367,Latvia,1,
LAT,367,Latvia,1,
LIT,368,Lithuania,1,
LIT,368,Lithuania,1,
UKR,369,Ukraine,1,
BLR,370,Belarus,1,
ARM,371,Armenia,7,
GRG,372,Georgia,7,
AZE,373,Azerbaijan,7,
FIN,375,Finland,1,
SWD,380,Sweden,1,
NOR,385,Norway,1,
NOR,385,Norway,1,
DEN,390,Denmark,1,
DEN,390,Denmark,1,
ICE,395,Iceland,1,
CAP,402,Cape Verde,8,
STP,403,Sao Tome and Principe,8,
GNB,404,Guinea-Bissau,8,
EQG,411,Equatorial Guinea,8,
GAM,420,Gambia,8,
MLI,432,Mali,8,
SEN,433,Senegal,8,
BEN,434,Benin,8,
MAA,435,Mauritania,8,
NIR,436,Niger,8,
CDI,437,Ivory Coast,8,
GUI,438,Guinea,8,
BFO,439,Burkina Faso,8,
LBR,450,Liberia,8,
SIE,451,Sierra Leone,8,
GHA,452,Ghana,8,
TOG,461,Togo,8,
CAO,471,Cameroon,8,
NIG,475,Nigeria,8,
GAB,481,Gabon,8,
CEN,482,Central African Republic,8,
CHA,483,Chad,8,
CON,484,Congo,8,
DRC,490,Democratic Republic of the Congo,8,
UGA,500,Uganda,8,
KEN,501,Kenya,8,
TAZ,510,Tanzania,8,
ZAN,511,Zanzibar,8,
BUI,516,Burundi,8,
RWA,517,Rwanda,8,
SOM,520,Somalia,8,
DJI,522,Djibouti,8,
ETH,530,Ethiopia,8,
ETH,530,Ethiopia,8,
ERI,531,Eritrea,8,
ANG,540,Angola,8,
MZM,541,Mozambique,8,
ZAM,551,Zambia,8,
ZIM,552,Zimbabwe,8,
MAW,553,Malawi,8,
SAF,560,South Africa,8,
NAM,565,Namibia,8,
LES,570,Lesotho,8,
BOT,571,Botswana,8,
SWA,572,Swaziland,8,
MAG,580,Madagascar,8,
