"","Year","Region","RegionNum","WarCount","WarCountP","WarCountA"
"1","1816","Europe","1",0,0,0
"2","1817","Europe","1",0,0,0
"3","1818","Europe","1",0,0,0
"4","1819","Europe","1",0,0,0
"5","1820","Europe","1",0,0,0
"6","1821","Europe","1",0,0,0
"7","1822","Europe","1",0,0,0
"8","1823","Europe","1",1,0,1
"9","1824","Europe","1",0,0,0
"10","1825","Europe","1",0,0,0
"11","1826","Europe","1",0,0,0
"12","1827","Europe","1",0,0,0
"13","1828","Europe","1",1,0,1
"14","1829","Europe","1",0,0,0
"15","1830","Europe","1",0,0,0
"16","1831","Europe","1",0,0,0
"17","1832","Europe","1",0,0,0
"18","1833","Europe","1",0,0,0
"19","1834","Europe","1",0,0,0
"20","1835","Europe","1",0,0,0
"21","1836","Europe","1",0,0,0
"22","1837","Europe","1",0,0,0
"23","1838","Europe","1",0,0,0
"24","1839","Europe","1",0,0,0
"25","1840","Europe","1",0,0,0
"26","1841","Europe","1",0,0,0
"27","1842","Europe","1",0,0,0
"28","1843","Europe","1",0,0,0
"29","1844","Europe","1",0,0,0
"30","1845","Europe","1",0,0,0
"31","1846","Europe","1",0,0,0
"32","1847","Europe","1",0,0,0
"33","1848","Europe","1",2,0,2
"34","1849","Europe","1",1,0,1
"35","1850","Europe","1",0,0,0
"36","1851","Europe","1",0,0,0
"37","1852","Europe","1",0,0,0
"38","1853","Europe","1",1,1,0
"39","1854","Europe","1",0,0,0
"40","1855","Europe","1",0,0,0
"41","1856","Europe","1",0,0,0
"42","1857","Europe","1",0,0,0
"43","1858","Europe","1",0,0,0
"44","1859","Europe","1",1,1,0
"45","1860","Europe","1",2,0,2
"46","1861","Europe","1",0,0,0
"47","1862","Europe","1",0,0,0
"48","1863","Europe","1",0,0,0
"49","1864","Europe","1",1,0,1
"50","1865","Europe","1",0,0,0
"51","1866","Europe","1",1,0,1
"52","1867","Europe","1",0,0,0
"53","1868","Europe","1",0,0,0
"54","1869","Europe","1",0,0,0
"55","1870","Europe","1",1,1,0
"56","1871","Europe","1",0,0,0
"57","1872","Europe","1",0,0,0
"58","1873","Europe","1",0,0,0
"59","1874","Europe","1",0,0,0
"60","1875","Europe","1",0,0,0
"61","1876","Europe","1",0,0,0
"62","1877","Europe","1",1,0,1
"63","1878","Europe","1",0,0,0
"64","1879","Europe","1",0,0,0
"65","1880","Europe","1",0,0,0
"66","1881","Europe","1",0,0,0
"67","1882","Europe","1",0,0,0
"68","1883","Europe","1",0,0,0
"69","1884","Europe","1",0,0,0
"70","1885","Europe","1",0,0,0
"71","1886","Europe","1",0,0,0
"72","1887","Europe","1",0,0,0
"73","1888","Europe","1",0,0,0
"74","1889","Europe","1",0,0,0
"75","1890","Europe","1",0,0,0
"76","1891","Europe","1",0,0,0
"77","1892","Europe","1",0,0,0
"78","1893","Europe","1",0,0,0
"79","1894","Europe","1",0,0,0
"80","1895","Europe","1",0,0,0
"81","1896","Europe","1",0,0,0
"82","1897","Europe","1",1,0,1
"83","1898","Europe","1",0,0,0
"84","1899","Europe","1",0,0,0
"85","1900","Europe","1",0,0,0
"86","1901","Europe","1",0,0,0
"87","1902","Europe","1",0,0,0
"88","1903","Europe","1",0,0,0
"89","1904","Europe","1",0,0,0
"90","1905","Europe","1",0,0,0
"91","1906","Europe","1",0,0,0
"92","1907","Europe","1",0,0,0
"93","1908","Europe","1",0,0,0
"94","1909","Europe","1",0,0,0
"95","1910","Europe","1",0,0,0
"96","1911","Europe","1",1,0,1
"97","1912","Europe","1",1,0,1
"98","1913","Europe","1",1,1,0
"99","1914","Europe","1",1,1,0
"100","1915","Europe","1",0,0,0
"101","1916","Europe","1",0,0,0
"102","1917","Europe","1",0,0,0
"103","1918","Europe","1",2,0,2
"104","1919","Europe","1",4,2,2
"105","1920","Europe","1",1,0,1
"106","1921","Europe","1",0,0,0
"107","1922","Europe","1",0,0,0
"108","1923","Europe","1",0,0,0
"109","1924","Europe","1",0,0,0
"110","1925","Europe","1",0,0,0
"111","1926","Europe","1",0,0,0
"112","1927","Europe","1",0,0,0
"113","1928","Europe","1",0,0,0
"114","1929","Europe","1",0,0,0
"115","1930","Europe","1",0,0,0
"116","1931","Europe","1",0,0,0
"117","1932","Europe","1",0,0,0
"118","1933","Europe","1",0,0,0
"119","1934","Europe","1",0,0,0
"120","1935","Europe","1",0,0,0
"121","1936","Europe","1",0,0,0
"122","1937","Europe","1",0,0,0
"123","1938","Europe","1",0,0,0
"124","1939","Europe","1",2,0,2
"125","1940","Europe","1",0,0,0
"126","1941","Europe","1",0,0,0
"127","1942","Europe","1",0,0,0
"128","1943","Europe","1",0,0,0
"129","1944","Europe","1",0,0,0
"130","1945","Europe","1",0,0,0
"131","1946","Europe","1",0,0,0
"132","1947","Europe","1",0,0,0
"133","1948","Europe","1",0,0,0
"134","1949","Europe","1",0,0,0
"135","1950","Europe","1",0,0,0
"136","1951","Europe","1",0,0,0
"137","1952","Europe","1",0,0,0
"138","1953","Europe","1",0,0,0
"139","1954","Europe","1",0,0,0
"140","1955","Europe","1",0,0,0
"141","1956","Europe","1",1,0,1
"142","1957","Europe","1",1,0,1
"143","1958","Europe","1",0,0,0
"144","1959","Europe","1",0,0,0
"145","1960","Europe","1",0,0,0
"146","1961","Europe","1",0,0,0
"147","1962","Europe","1",0,0,0
"148","1963","Europe","1",0,0,0
"149","1964","Europe","1",0,0,0
"150","1965","Europe","1",0,0,0
"151","1966","Europe","1",0,0,0
"152","1967","Europe","1",0,0,0
"153","1968","Europe","1",0,0,0
"154","1969","Europe","1",0,0,0
"155","1970","Europe","1",0,0,0
"156","1971","Europe","1",0,0,0
"157","1972","Europe","1",0,0,0
"158","1973","Europe","1",0,0,0
"159","1974","Europe","1",1,0,1
"160","1975","Europe","1",0,0,0
"161","1976","Europe","1",0,0,0
"162","1977","Europe","1",0,0,0
"163","1978","Europe","1",0,0,0
"164","1979","Europe","1",0,0,0
"165","1980","Europe","1",0,0,0
"166","1981","Europe","1",0,0,0
"167","1982","Europe","1",0,0,0
"168","1983","Europe","1",0,0,0
"169","1984","Europe","1",0,0,0
"170","1985","Europe","1",0,0,0
"171","1986","Europe","1",0,0,0
"172","1987","Europe","1",0,0,0
"173","1988","Europe","1",0,0,0
"174","1989","Europe","1",0,0,0
"175","1990","Europe","1",0,0,0
"176","1991","Europe","1",0,0,0
"177","1992","Europe","1",1,0,1
"178","1993","Europe","1",1,0,1
"179","1994","Europe","1",0,0,0
"180","1995","Europe","1",0,0,0
"181","1996","Europe","1",0,0,0
