"","Period","Region","RegionNum","StartYear","EndYear","WarCount","WarCountA","WarCountP"
"1",1,"Africa","8","1816","1825",0,0,0
"2",1,"East Asia","2","1816","1825",0,0,0
"3",1,"Europe","1","1816","1825",1,1,0
"4",1,"MENA","7","1816","1825",0,0,0
"5",1,"North America","5","1816","1825",0,0,0
"6",1,"Oceania","4","1816","1825",0,0,0
"7",1,"South America","6","1816","1825",0,0,0
"8",1,"South Asia","3","1816","1825",0,0,0
"9",2,"Africa","8","1826","1835",0,0,0
"10",2,"East Asia","2","1826","1835",0,0,0
"11",2,"Europe","1","1826","1835",1,1,0
"12",2,"MENA","7","1826","1835",0,0,0
"13",2,"North America","5","1826","1835",0,0,0
"14",2,"Oceania","4","1826","1835",0,0,0
"15",2,"South America","6","1826","1835",0,0,0
"16",2,"South Asia","3","1826","1835",0,0,0
"17",3,"Africa","8","1836","1845",0,0,0
"18",3,"East Asia","2","1836","1845",0,0,0
"19",3,"Europe","1","1836","1845",0,0,0
"20",3,"MENA","7","1836","1845",0,0,0
"21",3,"North America","5","1836","1845",0,0,0
"22",3,"Oceania","4","1836","1845",0,0,0
"23",3,"South America","6","1836","1845",0,0,0
"24",3,"South Asia","3","1836","1845",0,0,0
"25",4,"Africa","8","1846","1855",0,0,0
"26",4,"East Asia","2","1846","1855",0,0,0
"27",4,"Europe","1","1846","1855",4,3,1
"28",4,"MENA","7","1846","1855",0,0,0
"29",4,"North America","5","1846","1855",1,1,0
"30",4,"Oceania","4","1846","1855",0,0,0
"31",4,"South America","6","1846","1855",1,0,1
"32",4,"South Asia","3","1846","1855",0,0,0
"33",5,"Africa","8","1856","1865",0,0,0
"34",5,"East Asia","2","1856","1865",0,0,0
"35",5,"Europe","1","1856","1865",4,3,1
"36",5,"MENA","7","1856","1865",2,1,1
"37",5,"North America","5","1856","1865",1,1,0
"38",5,"Oceania","4","1856","1865",0,0,0
"39",5,"South America","6","1856","1865",3,1,2
"40",5,"South Asia","3","1856","1865",0,0,0
"41",6,"Africa","8","1866","1875",0,0,0
"42",6,"East Asia","2","1866","1875",0,0,0
"43",6,"Europe","1","1866","1875",2,1,1
"44",6,"MENA","7","1866","1875",0,0,0
"45",6,"North America","5","1866","1875",0,0,0
"46",6,"Oceania","4","1866","1875",0,0,0
"47",6,"South America","6","1866","1875",0,0,0
"48",6,"South Asia","3","1866","1875",0,0,0
"49",7,"Africa","8","1876","1885",0,0,0
"50",7,"East Asia","2","1876","1885",1,1,0
"51",7,"Europe","1","1876","1885",1,1,0
"52",7,"MENA","7","1876","1885",1,1,0
"53",7,"North America","5","1876","1885",1,1,0
"54",7,"Oceania","4","1876","1885",0,0,0
"55",7,"South America","6","1876","1885",2,2,0
"56",7,"South Asia","3","1876","1885",0,0,0
"57",8,"Africa","8","1886","1895",0,0,0
"58",8,"East Asia","2","1886","1895",1,0,1
"59",8,"Europe","1","1886","1895",0,0,0
"60",8,"MENA","7","1886","1895",0,0,0
"61",8,"North America","5","1886","1895",0,0,0
"62",8,"Oceania","4","1886","1895",0,0,0
"63",8,"South America","6","1886","1895",0,0,0
"64",8,"South Asia","3","1886","1895",0,0,0
"65",9,"Africa","8","1896","1905",0,0,0
"66",9,"East Asia","2","1896","1905",3,2,1
"67",9,"Europe","1","1896","1905",1,1,0
"68",9,"MENA","7","1896","1905",0,0,0
"69",9,"North America","5","1896","1905",1,1,0
"70",9,"Oceania","4","1896","1905",0,0,0
"71",9,"South America","6","1896","1905",0,0,0
"72",9,"South Asia","3","1896","1905",0,0,0
"73",10,"Africa","8","1906","1915",1,0,1
"74",10,"East Asia","2","1906","1915",1,0,1
"75",10,"Europe","1","1906","1915",4,2,2
"76",10,"MENA","7","1906","1915",1,1,0
"77",10,"North America","5","1906","1915",2,2,0
"78",10,"Oceania","4","1906","1915",0,0,0
