stateabb,ccode,year,milex,milper,irst,pec,tpop,upop,cinc,home1,home2,home3,territory1,territory2,base1,base2,base3,colony8,colony1,colony2,colony3,colony4,colony5,colony6,colony7
USA,2,1816,3823,17,80,254,8659,101,0.039697491,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1817,2466,15,80,277,8899,106,0.03581661,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1818,1910,14,90,302,9139,112,0.036126547,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1819,2301,13,90,293,9379,118,0.03713325,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1820,1556,15,110,303,9618,124,0.037086867,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1821,1612,11,100,321,9939,130,0.034173075,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1822,1079,10,100,332,10268,136,0.032939076,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1823,1170,11,110,345,10596,143,0.033107504,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1824,1261,11,110,390,10924,151,0.032977588,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1825,1336,11,120,424,11252,158,0.034215014,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1826,1658,12,120,502,11580,166,0.036425188,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1827,1663,12,130,556,11909,175,0.035708901,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1828,1622,11,130,609,12237,183,0.035687946,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1829,1678,12,144,686,12565,193,0.03748225,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
USA,2,1830,1687,12,168,799,12901,203,0.038483679,5,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
